,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento",Servicio doméstico
"Cultivo de cereales, oleaginosas y forrajeras",59472.62872238024,0.0,8886.925791127425,9226.358493620046,0.0,1046998.2032364756,70678.91626423378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.5161536196194,0.0,0.0,3321792.7024108693,2183.5301887408928,935145.1737109146,199199.44978074433,1602.4225438564604,0.0,33979.94035478477,8268.445336497412,10042.007982447074,0.0,0.0,30821.308999899942,648.3538401613421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.347431286427,0.0,0.0,65.87598792170974,2132.8219800929874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.85613799389796,218.71202712436346,462.92541352118496,42.942753112956204,242.8078487692325,70.99773166276734,0.0,0.0,0.0,0.005789182879747898,18767.820576733022,0.0
"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",0.0,93225.58106072557,5332.155474676455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645312287079066,0.0,0.0,0.0,2222.3865684876746,0.0,201991.9825006858,15957.191530949833,176.05102501550832,531.5984354310044,0.0,3452.21191242824,187.84544484818866,576.2058701357757,12050.094710545669,28697.135779149277,12.518421309793771,0.0,0.0,33.41918479535394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.98769510106916,0.0,407.38932287544407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.37052329474255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686.797069420433,120658.21938050014,0.0,6.488128754948507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.80436068786899,0.0,2325.9292421618848,3166.1382509783552,6706.737927644467,1222.244205873042,4969.112808702395,0.0,690.3047027344403,0.0,4459.062417541872,0.6895682441695168,44203.749862096316,0.0
Cultivo de frutas y nueces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.4544778552363,0.0,241791.80918137738,0.0,2024.5867876783457,0.0,0.0,18785.40581103432,2160.22261575417,6626.367506561422,0.0,399.2242152005927,143.96184506262838,21614.138020659946,0.0,303.186232399588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.9772130676065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2647.885370950946,89006.4406433396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.7621224482123,1559.6818618937018,3301.2197312830244,4510.5959311578545,2406.392636613221,0.0,667.5315368053283,0.0,0.0,0.06022874769457673,2.416986274294747,0.0
Cultivos industriales,0.0,0.0,0.0,31984.4415023165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48481.800437491,19313.587750089584,0.0,0.0,0.0,0.0,198561.61039451548,0.0,0.0,107669.75796035556,0.0,410668.62239253893,2710.4346717996373,0.0,309464.192441516,453570.3870990074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Producción de semillas,560147.4557005585,11711.425339563719,21328.62189870582,12341.097926886829,15549.34210080154,91462.78168627959,1638.7085401390468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.7388074161677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cría de ganado y producción de leche, lana y pelos",0.0,0.0,0.0,0.0,0.0,1100460.4297113211,2663.3098641048114,0.0,0.0,0.0,0.0,18.193436339897897,0.0,0.0,4066080.878426675,278.79009597668374,26.604698519500804,0.0,1588649.6340518654,0.0,0.0,1049.7086335010922,0.0,0.0,81.75340753746663,179.0895370896711,0.0,0.0,0.0,0.0,0.0,112672.99115541554,0.0,0.0,0.0,0.0,0.0,815.514683226263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2727.5439315996186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.5580303429088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.588686502388,524.3864587811048,1109.9153826756901,546.5816177284829,776.9023827177117,16.656290741475942,0.0,0.0,0.0,0.11011888883991451,0.0,0.0
Producción de granja,0.0,0.0,0.0,0.0,0.0,657.4422289951983,266837.4169530675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891945.2148700699,0.0,150.75995827717122,0.0,4460.70896043444,0.0,0.0,19944.46403652075,0.0,964.2806554011715,6731.030553918085,11760.21293555507,0.0,0.0,0.0,0.0,0.0,1904.3190333830441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.979036136122804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.3600564902524,9039.042981087385,0.0,0.0,0.0,0.0,0.0,0.3517372049394685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.809747424569625,57.32149347320158,22.93950603986578,0.0,0.07378691646981422,0.0,0.0,0.0,0.0,0.0,0.0
Servicios agropecuarios,908597.2431423205,11296.262478971701,7.457994081035852,66301.73260934405,26089.64939687844,67538.34961873916,0.0,544.4657418218499,0.0,0.0,2361.76173681781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9626.2141208686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11889.557030914633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10282.792145334826,11880.595738360325,203.87867080656565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvicultura y extracción de madera,0.0,2077.0050118859353,2593.802332461802,0.3773485578607061,0.0,2.2672321400979296,0.18670174834073217,0.0,0.0,90243.30513166208,260.79595980496475,0.03893299202492277,0.0,0.0,0.0,13.901459694326498,70.85378321792052,0.0,0.0,0.0,0.996449121386791,0.0,0.0,90.25324438487041,0.0,0.0,0.0,0.0,0.0,249.2452944932741,0.0,0.0,0.0,130.47893037013273,0.0,30.488105033228322,0.0,0.0,0.0,114213.63483625962,82916.25731238413,44861.00666483767,172.84878196636976,0.0,0.0,0.0,0.0,0.0,149.51495008800924,230.7421072647364,81.53864724333606,0.0,1373.2110416516493,125.94801275697984,6717.905491744433,0.0,0.0,0.0,0.0,0.0,0.0,64.51788675261425,844.4536753727448,6.25469531112833,0.0,3.8055662768659513,0.0,0.0,0.0,0.0,0.0,4.870873434469225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.05914995249628,755.1037300368903,0.0,0.0,0.0,408.6641605541465,0.0,0.0,71.47855842281834,2767.5269538041857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05881549805077,2.105966487292246,4.457481933433407,0.4747411949542455,0.0,0.0,0.0,0.0,0.0,0.050086761494589446,732.6111303090296,0.0
